"지역별","지표별",2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
"울산광역시","도소매업 종사자수(등록기반) (명)",-,-,-,-,-,-,56392,56293,55657,54654,53377
"울산광역시","서비스업 사업체수(등록기반) (개)",-,-,-,-,-,-,80276,78444,78973,79294,79054
"울산광역시","서비스업 종사자수 (명)",234565,240960,224078,223409,230334,233611,-,-,-,-,-
"울산광역시","서비스업 종사자수(등록기반) (명)",-,-,-,-,-,-,232337,236679,239404,242946,248406
"울산광역시","지방세 (백만원)",1611003,1760321,1945369,1983863,1946957,2040650,2093867,2216360,2455872,2484893,2452690
"울산광역시","경제성장률 (%)",-,-,-2.6,0.1,-1.4,-1.3,-9.6,6.8,3.8,5.1,3.4
"울산광역시","사업체수 (개)",78638,80805,82948,83872,85662,87054,-,-,-,-,-
"울산광역시","제조업 사업체수 (개)",6725,7159,7193,7227,7299,7729,-,-,-,-,-
"울산광역시","제조업 종사자수 (명)",188081,186809,180111,177427,175990,177173,-,-,-,-,-
"울산광역시","운수업 사업체수 (개)",6836,7158,7449,7090,7536,7633,-,-,-,-,-
"울산광역시","운수업 종사자수 (명)",22981,24843,25033,24347,24396,23770,-,-,-,-,-
"울산광역시","도소매업 사업체수 (개)",19293,19782,19969,20018,20248,20146,-,-,-,-,-
"울산광역시","도소매업 종사자수 (명)",53470,55020,55827,55777,57109,57099,-,-,-,-,-
"울산광역시","서비스업 사업체수 (개)",59241,60393,61641,62791,64030,64901,-,-,-,-,-
"울산광역시","수출액 (100만달러)",92400,72907,65259,66700,70127,69530,56091,74269,90093,87365,88131
"울산광역시","수입액 (100만달러)",79739,32457,27701,30269,36038,32742,28286,40696,52180,45050,47147
"울산광역시","어음부도율",0,0,0,0,0,0,0,0,0,0,0
"울산광역시","가구수 (가구)",-,434058,435829,437889,439930,445731,452995,460289,462748,467842,473979
"울산광역시","어가수",940,905,832,791,739,726,630,568,540,560,564
"울산광역시","1인당 GRDP (천원)",63793,65408,65031,66786,65897,65486,59529,70889,76234,80821,85194
"울산광역시","대형소매점판매액 (백만원)",-,-,-,-,-,-,1530772,1605564,1595651,1706480,1683516
"울산광역시","백화점판매액 (백만원)",-,-,-,-,-,-,689253,766994,765342,807729,756605
