"지역별","지표별",2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
"대구광역시","제조업 사업체수 (개)",26574,27551,27511,27387,26961,26600,-,-,-,-,-
"대구광역시","제조업 종사자수 (명)",176125,178781,179927,179147,176508,174311,-,-,-,-,-
"대구광역시","운수업 사업체수 (개)",20181,19737,19704,21171,21094,21059,-,-,-,-,-
"대구광역시","운수업 종사자수 (명)",45321,45911,46648,48080,47711,47975,-,-,-,-,-
"대구광역시","도소매업 사업체수 (개)",53760,54072,55387,55729,55470,54735,-,-,-,-,-
"대구광역시","도소매업 종사자수 (명)",144491,146794,151124,153579,165411,154973,-,-,-,-,-
"대구광역시","서비스업 사업체수 (개)",139267,139610,143627,146205,147899,148761,-,-,-,-,-
"대구광역시","수출액 (100만달러)",7807,7090,6915,7213,8103,7491,6265,7934,10641,11016,8878
"대구광역시","수입액 (100만달러)",3681,3877,4359,4439,4652,4369,4086,5240,8115,8355,5775
"대구광역시","어음부도율",0,0,0,0,0,0,0,0,0,0,0
"대구광역시","가구수 (가구)",-,937573,945483,958273,968265,979852,997416,1013488,1024104,1047270,1059084
"대구광역시","1인당 GRDP (천원)",21114,22685,23382,24170,24820,25653,25928,27770,29654,30664,31374
"대구광역시","대형소매점판매액 (백만원)",-,-,-,-,-,-,3744897,4223038,4404555,4542400,4616101
"대구광역시","백화점판매액 (백만원)",-,-,-,-,-,-,2039066,2459525,2625615,2649238,2682740
"대구광역시","경찰공무원 1인당 담당주민수 (명)",479.9,462.7,458.4,451.8,445.1,423.9,418.0,404.7,399.3,401.5,396.1
"대구광역시","자연재해위험 개선지구 지정현황 (개소)",-,18,18,20,20,21,22,24,25,28,53
"대구광역시","자연재해 피해현황 (천원)",-,-,-,-,-,-,847914,35000,30800,10758115,1907525
"대구광역시","화재발생건수 (건)",1767,1817,1739,1612,1440,1323,1233,1189,1294,1293,1205
"대구광역시","개발제한구역 (km²)",401,401,401,401,401,401,400,400,400,400,400
"대구광역시","도시가스 보급률 (%)",87.5,90.7,94.0,95.7,96.4,97.1,97.3,97.4,97.5,97.6,96.5
"대구광역시","최종에너지소비량 (1,000 toe)",4322,4306,4379,4402,4461,4392,4062,4309,4548,4436,4353
"대구광역시","상수도보급률 (%)",99.9,99.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.9,99.9
"대구광역시","하수도보급률 (%)",98.3,98.3,98.3,98.4,98.7,98.8,98.8,98.9,98.9,98.4,98.6
"대구광역시","전력판매량 (MWh)",14858787,14947708,15268114,15386372,15675749,15265585,14758568,15443949,16039260,16288850,16746899
"대구광역시","기온 (℃)",14.5,14.8,14.6,14.4,14.1,14.8,14.5,14.6,14.7,15.1,15.8
"대구광역시","강수량 (㎜)",1047.6,548.5,1227.3,663.7,1297.6,995.7,1244.9,910.0,581.0,1321.8,1156.4
"대구광역시","논경지면적 (헥타르)",4455,3865,4025,3994,3535,3513,3512,2660,2953,2949,5473
"대구광역시","인구십만명당 자살률 (십만명당)",25.2,26.8,24.2,24.9,26.8,28.7,26.1,26.3,27.0,28.1,29.4
"대구광역시","사회복지시설 종사자 수 (명)",-,22011,26772,23159,23464,23449,24038,26254,28479,-,-
"대구광역시","사회복지 전담공무원 현황 (명)",840.0,848.0,953.5,1070.0,1129.0,1159.0,1222.0,1227.0,1265.0,1312.0,1342.0
"대구광역시","등록장애인수 (명)",-,-,-,-,-,125482,126383,127245,127332,130288,130674
"대구광역시","국민기초생활보장 수급자수 (명)",93539,113152,107763,103132,110495,117594,131374,144092,148146,154802,161699
"대구광역시","지방자치단체공무원 현원 (명)",11626,11880,12126,12610,12912,13321,10975,11218,11393,11954,12001
