"지역별","지표별",2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
"부산광역시","서비스업 사업체수(등록기반) (개)",-,-,-,-,-,-,275043,274196,273083,274786,275578
"부산광역시","서비스업 종사자수 (명)",806753,821513,785733,801670,818471,842161,-,-,-,-,-
"부산광역시","서비스업 종사자수(등록기반) (명)",-,-,-,-,-,-,865821,878505,894276,905169,904679
"부산광역시","지방세 (백만원)",3973205,4784818,4625095,4947208,4935112,5191892,6199573,6468033,6806341,6573346,6681019
"부산광역시","경제성장률 (%)",-,-,2.8,-0.6,3.0,2.2,-3.0,2.6,1.7,2.7,2.7
"부산광역시","사업체수 (개)",277713,278850,283554,286571,288860,290357,-,-,-,-,-
"부산광역시","제조업 사업체수 (개)",30369,31458,31277,31012,30656,30630,-,-,-,-,-
"부산광역시","제조업 종사자수 (명)",220257,227632,224025,219037,216091,214649,-,-,-,-,-
"부산광역시","운수업 사업체수 (개)",27966,28255,27880,27227,26904,26955,-,-,-,-,-
"부산광역시","운수업 종사자수 (명)",108139,109724,109787,110616,110705,110016,-,-,-,-,-
"부산광역시","도소매업 사업체수 (개)",79697,80017,80241,80645,80557,79464,-,-,-,-,-
"부산광역시","도소매업 종사자수 (명)",223027,225788,229571,231875,232787,234742,-,-,-,-,-
"부산광역시","서비스업 사업체수 (개)",201362,200820,204217,207884,210550,212122,-,-,-,-,-
"부산광역시","수출액 (100만달러)",14702,15579,14074,15064,14407,13924,11320,14816,16190,15111,14596
"부산광역시","수입액 (100만달러)",14894,14377,13560,14463,14799,13798,12368,15383,16817,14961,15261
"부산광역시","어음부도율",0,0,0,0,0,0,0,0,0,0,0
"부산광역시","가구수 (가구)",-,1348315,1357230,1368360,1378164,1392291,1420252,1447194,1464557,1480828,1491579
"부산광역시","어가수",1972,2203,2031,1929,1858,1810,1816,1546,1571,1484,1378
"부산광역시","1인당 GRDP (천원)",23991,25707,26800,27210,28355,29436,29272,31950,34465,35431,37085
"부산광역시","대형소매점판매액 (백만원)",-,-,-,-,-,-,5308053,5980683,6451407,6858521,6860993
"부산광역시","백화점판매액 (백만원)",-,-,-,-,-,-,2885218,3471702,4002990,4352844,4367441
"부산광역시","경찰공무원 1인당 담당주민수 (명)",418.3,404.8,399.3,396.3,390.4,376.9,368.6,360.0,350.1,347.0,345.4
"부산광역시","자연재해위험 개선지구 지정현황 (개소)",-,48,49,49,49,50,53,54,62,65,71
"부산광역시","자연재해 피해현황 (천원)",-,-,-,-,-,-,26621111,1834404,11823906,251881,2300857
"부산광역시","화재발생건수 (건)",2026,1973,2199,2609,2471,2440,2499,2271,2488,2468,2281
"부산광역시","개발제한구역 (km²)",253,253,253,251,251,251,250,250,250,248,248
"부산광역시","도시가스 보급률 (%)",82.9,85.4,87.6,89.9,92.3,94.8,95.5,96.8,97.0,97.3,97.5
"부산광역시","최종에너지소비량 (1,000 toe)",5722,5899,6311,6275,6375,6349,5910,5808,6021,5985,6160
"부산광역시","상수도보급률 (%)",100.0,100.0,100.0,100.0,100.0,100.0,99.7,99.8,99.8,99.8,99.8
"부산광역시","하수도보급률 (%)",99.2,99.2,99.1,99.3,99.3,99.4,99.4,99.6,99.6,99.6,99.6
"부산광역시","전력판매량 (MWh)",19980898,20002307,20467093,21007358,21216605,20802410,20503969,21067833,21493648,21555665,21851300
"부산광역시","기온 (℃)",15.1,15.4,15.7,15.2,15.1,15.7,15.2,15.7,15.4,16.0,16.5
"부산광역시","강수량 (㎜)",1693.1,1396.7,1760.2,1014.4,1778.6,1623.2,2281.6,1807.8,991.9,2082.5,1779.6
"부산광역시","논경지면적 (헥타르)",3778,3490,3348,3243,3091,2951,2812,2278,2268,2278,2306
"부산광역시","인구십만명당 자살률 (십만명당)",28.7,29.0,27.2,26.3,27.9,30.1,27.4,27.7,27.3,29.1,30.3
"부산광역시","사회복지시설 종사자 수 (명)",-,25160,30736,26363,27096,28423,29012,31551,34203,-,-
"부산광역시","사회복지 전담공무원 현황 (명)",1188.0,1285.0,1356.0,1512.0,1631.5,1690.3,1855.0,1988.0,1865.0,1982.0,2258.0
"부산광역시","등록장애인수 (명)",-,-,-,-,-,175370,176258,176361,175858,175062,174256
"부산광역시","국민기초생활보장 수급자수 (명)",126962,152389,149528,145113,159031,172439,196299,217335,227066,234657,243110
"부산광역시","지방자치단체공무원 현원 (명)",17080,17385,17780,18280,19088,19294,16509,17007,17358,17607,18717
