"지역별","지표별",2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
"광주광역시","개발제한구역 (km²)",247,247,245,244,244,244,244,244,244,244,244
"광주광역시","도시가스 보급률 (%)",99.7,95.8,97.6,99.3,99.9,100.2,99.7,100.0,101.1,101.6,102.1
"광주광역시","최종에너지소비량 (1,000 toe)",2541,2487,2528,2555,2543,2492,2420,2458,2476,2375,2419
"광주광역시","상수도보급률 (%)",99.6,99.8,99.8,99.9,99.9,99.9,99.9,99.9,99.9,100.0,100.0
"광주광역시","하수도보급률 (%)",98.6,98.6,98.7,98.6,98.4,99.0,98.9,98.9,99.0,99.0,98.8
"광주광역시","전력판매량 (MWh)",8197277,8333873,8558369,8683649,8773811,8603297,8531108,8973447,9116871,9083242,9343348
"광주광역시","기온 (℃)",14.3,14.6,15.0,14.6,14.6,14.7,14.5,15.1,14.8,15.3,16.0
"광주광역시","강수량 (㎜)",1290.3,1049.6,1482.3,936.6,1427.9,1085.9,2027.0,1303.8,769.9,2116.1,1291.0
"광주광역시","논경지면적 (헥타르)",6764,6615,6167,5931,5792,5758,5724,4580,4600,4980,4990
"광주광역시","인구십만명당 자살률 (십만명당)",23.8,21.4,23.2,22.6,25.7,23.9,22.6,26.4,25.0,27.3,29.9
"광주광역시","사회복지시설 종사자 수 (명)",-,18026,23960,18122,19038,18794,19845,21204,24205,-,-
"광주광역시","사회복지 전담공무원 현황 (명)",495.0,549.0,582.0,664.0,714.0,812.0,893.0,923.0,932.0,922.0,940.0
"광주광역시","등록장애인수 (명)",-,-,-,-,-,70175,70054,69801,69388,69202,69175
"광주광역시","국민기초생활보장 수급자수 (명)",59598,71683,69420,65712,72757,76193,84762,91548,94137,96473,100201
"광주광역시","지방자치단체공무원 현원 (명)",7031,7241,7314,7611,7956,8409,7377,7688,7832,7954,7919
