"지역별","지표별",2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
"대전광역시","전력판매량 (MWh)",9102524,9182737,9379633,9423804,9648827,9415699,9405221,9748621,10016877,9922139,10169884
"대전광역시","기온 (℃)",13.4,14.0,14.0,13.4,13.5,14.0,13.7,14.3,13.5,14.0,14.9
"대전광역시","강수량 (㎜)",1117.7,822.7,1228.4,1127.5,1542.1,984.2,1614.0,1109.5,1203.1,2042.5,1360.5
"대전광역시","논경지면적 (헥타르)",1629,1606,1544,1458,1400,1358,1286,1137,1104,1075,1070
"대전광역시","인구십만명당 자살률 (십만명당)",26.8,27.0,24.8,22.5,28.3,28.7,27.2,29.3,25.7,26.4,31.2
"대전광역시","사회복지시설 종사자 수 (명)",-,16628,21463,17818,18320,19570,20270,21132,22471,-,-
"대전광역시","사회복지 전담공무원 현황 (명)",425.0,457.0,474.0,524.0,584.0,599.0,625.0,702.0,706.0,697.0,697.0
"대전광역시","등록장애인수 (명)",-,-,-,-,-,73215,72840,72461,71858,71342,71344
"대전광역시","국민기초생활보장 수급자수 (명)",43469,53930,54490,52357,56324,59317,66775,72908,75140,77554,80729
"대전광역시","지방자치단체공무원 현원 (명)",7139,7197,7322,7474,7704,7981,6704,6949,7172,7223,7240
